num,name,paper,wf1_cagr,wf1_sharpe,wf1_sortino,wf1_mdd,wf1_calmar,wf1_vol,wf1_winrate,wf1_pf,wf1_skew,wf1_tail,wf2_ret,wf2_mdd,wf2_sharpe,beta,alpha,elapsed,wf1_rank,wf2_rank,combined_rank
s49,Conditional Risk Parity,Asness et al. (2012) SSRN 2050064,0.06454365705098741,0.7583486627081536,1.0256817580318083,-0.22556256138128727,0.28614525680032454,0.08777346351028019,0.5473515248796148,1.142593573835884,-0.22138260195512502,0.9780045953179582,0.019573242490068532,-0.03736534339221491,1.405003343144582,0.23314444127957304,0.034530092237784145,0.1s,1.0,7.0,4.0
s34,Parkinson Regime Switch,Parkinson (1980),0.09049497692890274,0.6420477368800191,0.483714674113566,-0.28201657952287806,0.3208853078141865,0.11788794871916071,0.46522619851451724,1.2459180262388114,-0.004383279524207122,1.3059489847567263,0.04374022524173515,-0.02197802197802184,3.2571299327687018,0.46865112413615406,0.01786196705501445,0.2s,10.0,3.0,6.5
s16,Holiday Effect,Ariel (1990) / Lakonishok & Smidt (1988),0.06650657592957487,0.5953424966319074,0.6211914013379531,-0.21879145300926714,0.303972458772226,0.108468402994626,0.36314363143631434,1.18499610431072,-0.07701200053333229,1.1407815443927547,0.04803415133097921,-0.012034908653696911,2.818343058704877,0.3957305023587691,0.015745935774014636,0.2s,12.0,2.0,7.0
s38,Round Number Avoidance,Bhattacharya et al. (2012) SSRN 1364960,0.10016091855374198,0.694028174919725,0.8070473665377261,-0.2990219909251175,0.33496171383202633,0.14709789949778435,0.4518475414605761,1.1689916554993236,-0.18791862267175335,1.0087544550390994,0.010961064647559748,-0.018189046798611178,0.9066891033570438,0.7283719081984364,0.012214938164324951,0.0s,5.0,9.0,7.0
s30,Volume-Weighted RSI(2),Lerman et al. (2008) SSRN 1121475,0.03645908750696103,0.6057880049638346,0.21347747253236052,-0.14751181253355825,0.24716046044561182,0.05875616056526514,0.4519774011299435,1.540315817493311,-1.7953382440968575,0.0,0.024593126291493128,-0.00010000000000002581,2.4393101122278735,0.11628473713700681,0.021245189832149014,0.1s,11.0,4.0,7.5
s50,Crypto Vol Regime Rotation,Liu & Tsyvinski (2021) SSRN 3115402,0.016152044322322645,0.6677401457019616,0.2699291300203072,-0.055179775520730515,0.2927167457623034,0.024494754156439254,0.3103448275862069,1.809005196779917,2.861135127601485,0.0,0.004351991604910177,-0.002121777312833341,1.4885440143990611,0.006865580597595038,0.015413205934204005,0.0s,6.0,10.0,8.0
s14,Monday Reversal,French (1980) / Lakonishok & Maberly (1990),0.034023532326612704,0.46995233106383794,0.2848794293548696,-0.09172877057985729,0.3709145136420691,0.05253586955733181,0.2777777777777778,1.3819603442368433,5.379539897665394,0.0,0.021283837811346684,-0.019088464587494584,1.4176653176492628,0.09263755094824437,0.013258636676174166,0.1s,17.0,6.0,11.5
s28,Odd Lot Retail Contrarian,"Boehmer, Jones & Zhang (2008) SSRN 983327",0.011667289943835701,0.5472562994774733,0.09684672119475356,-0.02049177215189864,0.5693646141168265,0.018076335332327945,0.6111111111111112,6.527649148370933,23.809365480269335,0.0,0.0,0.0,0.0,0.010881316206845036,0.008549722774588323,0.1s,13.0,15.5,14.25
s48,Kurtosis Tail Premium,Bollerslev & Todorov (2011) SSRN 1723508,0.038050491205697146,0.5265769913674551,0.31728698979693787,-0.11868486785141216,0.3206010327562108,0.06806804434974888,0.52894438138479,1.2178917956746056,-0.9125173519907505,1.46831693860682,0.0,0.0,0.0,0.15566163370141145,0.016635690900960537,0.5s,14.0,15.5,14.75
s27,Amihud Illiquidity Premium,Amihud (2002) SSRN 276213,0.026026952110888013,0.44819201078860677,0.299050441566465,-0.22663196703535066,0.11484236955340135,0.11173460389581419,0.5342612419700214,1.189498027112141,1.1293128435953013,1.3554061644468283,0.0,0.0,0.0,0.41984306895530127,-0.0017266511889277173,0.1s,19.0,15.5,17.25
